"","created_at.x","text","covid_19","billionaire_class","super_tuesday","new_deal","immigration_system","white_house","health_insurance","town_hall","political_revolution","living_wage","dem_debate"
"1","2019-11-05T14:23:36Z","i encourage albuquerque residents to vote yes on proposition 2 today we must move to publicly fund elections across the country in order to ensure a fair playing field free of the corrupting influence of large donors ",0.0834112937850941,0.00867825049548765,0.00829693098013945,0.00595569378632797,0.00610757528820394,0.0885025556192556,0.00835509836383665,0.0814707652345299,0.0067231800989991,0.694306749810773,0.00819190653735288
"2","2019-11-05T15:21:30Z","election day should be a national holiday",0.00613827474071076,0.00752881334376743,0.00719799972449184,0.00516686017224479,0.00529862491890541,0.143005528384917,0.00724846281895763,0.00445476983922789,0.072057858231582,0.734795922021266,0.00710688580392866
"3","2019-11-05T15:37:53Z","jeff bezos and amazon think they can buy elections

they spent 1 million to stop city council candidates d 1 for lisa tammy morales sea vote sawant and elect scott 2019

show amazon that they cant buy our democracy and that their corporate greed wont stand get out and vote",0.0114429566153991,0.0140351952457887,0.0134184933135589,0.00963204797541931,0.00987768349079898,0.0196769726681788,0.0135125664896618,0.00830457093485693,0.875070822135419,0.011780052163101,0.0132486389678176
"4","2019-11-05T17:28:01Z","thank you to all those in manassas who came to help us get out the vote we need everyone to turn out today in your state and local elections go to ",0.00542034787045219,0.00664825037958411,0.942028643031569,0.00456254904098809,0.00467890270616793,0.00932067126387418,0.00640068938983977,0.00393374412703749,0.00515050639163089,0.00558002470883731,0.00627567109001887
"5","2019-11-05T18:46:27Z","homelessness isnt a crime its a symptom of the greed that is destroying housing in america

when we are in the white house we will stop the criminalization of homelessness and invest 32 billion over five years to end homelessness once and for all ",0.188530445818444,0.0102418992334134,0.00979187349908349,0.00702879176584652,0.547748579844637,0.0143588719470494,0.00986052149245587,0.00606009230381451,0.00793456390062056,0.0085962542811818,0.189848105913453
"6","2019-11-05T21:48:32Z","bernie has brought together one of the most diverse coalitions ever in american politics of people who have been left behind of working class people to demand a better society swalker 06 ",0.0441371183736822,0.0541357530908993,0.0517570456380129,0.037152185048046,0.0380996363216533,0.0758968945772614,0.528310375507745,0.0320319164630197,0.0419398377604231,0.0454373440576753,0.0511018931615824
"7","2019-11-05T23:27:29Z","we are ready to take on the greed of fossil fuel executives and the billionaire class who stand in the way of climate action 

join our climate crisis summit this saturday in des moines with aoc naomi aklein and more rsvp here ",0.0638998800341949,0.00664825037958411,0.00635612841168577,0.00456254904098809,0.00467890270616793,0.00932067126387418,0.88359367184598,0.00393374412703749,0.00515050639163089,0.00558002470883731,0.00627567109001887
"8","2019-11-05T23:39:34Z","youre gonna want to know swalker 06 ",0.00613827474071076,0.0737539789066814,0.00719799972449184,0.00516686017224479,0.866225777236787,0.0105551972590893,0.00724846281895762,0.00445476983922789,0.00583269266866809,0.00631910082921311,0.00710688580392865
"9","2019-11-06T00:00:00Z","congratulations to the la city council for recognizing that we need medicare for all and that the forprofit health insurance racket must end no one should struggle to afford the care they need and the american people are with us ",0.00512088113727804,0.28252403765143,0.0612535798806534,0.00431047450833682,0.00442039979422495,0.395546048542113,0.00604706014178233,0.224710885335489,0.00486594802745239,0.00527173605089049,0.00592894893034932
"10","2019-11-06T00:42:48Z","you guys have won a victory that will not only be for chicago but be for the whole country thanks for the support bernie sanders ctulocal 1 ",0.00575701544004549,0.752402800092602,0.193086322722971,0.0048459371801799,0.0049695177810852,0.00989959494486015,0.00679824773703479,0.00417807606039386,0.00547041362092473,0.00592661009447938,0.00666546432542377
"11","2019-11-06T01:01:00Z","some people say ilhan mn and i make an odd political couple in fact theres nothing odd about it at all our story is the story of america ",0.00512088113727804,0.503518512789552,0.00600496109612302,0.00431047450833682,0.0596690185787554,0.00880571705040047,0.00604706014178233,0.00371641019736691,0.225860423165574,0.171017592404482,0.00592894893034932
"12","2019-11-06T13:21:34Z","last night voters across the country made clear theyre tired of a government that works for the 1 while working people suffer they want real change

next year well finish the job by taking on trumps corruption well sweep him and all he stands for out of the white house",0.0101854888554651,0.0124928660978998,0.671284592949432,0.118463691055044,0.00879222376653535,0.017514667979368,0.0120276690732154,0.00739198072223529,0.00967842409855914,0.0104855409363866,0.12168285446586
"13","2019-11-06T17:27:15Z","tmobile got this merger approved after spending nearly 200000 at trumps hotels

this is a disastrous decision

when were in the white house were going to end this corruption and break them up ",0.25420422040899,0.00706118518576946,0.00675091899626253,0.0048459371801799,0.0049695177810852,0.00989959494486015,0.00679824773703479,0.00417807606039386,0.626588426043285,0.00592661009447938,0.0687772655676598
"14","2019-11-06T18:12:07Z","thank you to virginians for making history by standing up for health care gun safety and voting rights and for sending a clear message to trump that we reject his hate and bigotry ",0.153865072068892,0.00565597420352678,0.00540745252934461,0.551145253164224,0.00398055901868018,0.00792952629911684,0.00544536261523682,0.00334661813792742,0.00438177409437255,0.104249672762245,0.154592735106434
"15","2019-11-06T20:32:19Z","on the issue of climate change we cannot be too aggressive this is about the future of humanity that is why we have put forth the green new dealthe most comprehensive plan to address the climate crisis out of any caign",0.00575701544004549,0.00706118518576946,0.255198123965207,0.0048459371801799,0.191304921507793,0.00989959494486015,0.131021850221507,0.00417807606039386,0.378141221074341,0.00592661009447938,0.00666546432542377
"16","2019-11-06T21:00:29Z","the hospital workers of seiuhciimk deserve a fair contract no worker who provides vital health care services should be unable to afford their own health insurance thats why were fighting for medicare for all and unions for all ",0.0101854888554651,0.0124928660978998,0.0119439336087722,0.00857358116493367,0.00879222376653535,0.237294887759588,0.671368328413875,0.00739198072223529,0.00967842409855914,0.0104855409363866,0.0117927445757497
